Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Mean Radiant Temperature [C](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Operative Temperature [C](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 01/19  03:00:00,5.75,2.3333333333333337,102458.33333333333,0.7916666666666666,0.0,0.0,0.0,41.373724018885827,-68.33249212064209,-0.39959656762193138,8.33319599035569,21.93358678703909,21.564832103763036,966528.0154354514,0.0,0.0
 01/19  04:00:00,5.091666666666667,1.5333333333333333,102500.0,1.2916666666666668,64.16666666666667,0.0,0.0,65.23844474930384,-58.76901971275692,-0.44979423825431849,9.223581240580734,21.759475510446334,21.39489062388002,1673811.0250746413,0.0,0.0
 01/19  05:00:00,4.916666666666667,2.8333333333333337,102500.0,1.5,110.0,0.0,0.0,79.38124053803472,-47.44514255237729,-0.4547252032076668,9.315490114317923,21.648430565644167,21.407145890292143,2792793.011188117,0.0,0.0
 01/19  06:00:00,4.416666666666667,3.4166666666666667,102558.33333333333,1.5,57.5,0.0,0.0,89.61281346843093,-35.61407537280252,-0.45272454348917048,9.277294595139189,21.565423791468107,21.408784108234298,3530424.1687990536,0.0,0.0
 01/19  07:00:00,4.0,3.0,102600.0,1.5,20.0,0.0,0.0,98.32812216304706,-23.753125606057485,-0.45262201997977327,9.275343633164086,21.493366964183168,21.406696966628276,4187592.929720735,0.0,0.0
 01/19  08:00:00,4.0,3.0,102600.0,1.5,20.0,0.0,0.0,106.66730190919948,-12.14246423350808,-0.4520853278740371,9.26513953346968,21.44019938026591,21.40906240407573,4542737.225578025,0.0,0.0
 01/19  09:00:00,4.0,3.0,102600.0,1.5,255.83333333333335,8.416666666666666,28.055555555555555,115.34629914337718,-1.0381147393211008,-0.44913286723382109,9.209533151134773,21.424574564736188,21.421702271522766,4591302.325677553,0.0,0.0
 01/19  10:00:00,4.175,3.35,102600.0,2.5499999999999995,270.0,57.75,222.83333333333335,124.95062409331304,9.25014610152487,-0.44689419750169376,9.16715308157419,21.55791145743791,21.440195794638428,3680769.130662757,0.0,0.0
 01/19  11:00:00,4.533333333333333,4.241666158040364,102600.0,3.7666666666666659,270.0,106.0,402.8333333333333,136.0246832679415,18.302166302121905,-0.44758444561661755,9.180059559729126,21.632940122908577,21.435400037869827,3021443.1901524,0.0,0.0
 01/19  12:00:00,5.2250000000000009,4.175,102600.0,3.6916666666666666,270.0,171.58333333333335,388.3333333333333,149.00512405505405,25.549437733215354,-0.44579823546885236,9.146531586539192,21.726607064560967,21.43313829773959,1922726.339617546,0.0,0.0
 01/19  13:00:00,6.125,3.8000000000000004,102600.0,3.5749999999999999,270.0,209.91666666666667,355.9166666666667,163.95923888943433,30.305222298830825,-0.4367160244964326,8.979885419183424,21.888580598656107,21.46948184347659,978251.7082510577,0.0,0.0
 01/19  14:00:00,7.375,4.733333333333333,102541.66666666667,3.35,270.0,237.41666666666667,316.4166666666667,180.2340744465105,31.945023594587643,-0.3782506516665521,7.990228802278753,22.14826794312732,21.711594854861834,966528.0154354514,0.0,0.0
 01/19  15:00:00,8.875,6.2749999999999999,102441.66666666667,2.75,270.0,223.83333333333335,299.0,196.48782695747483,30.210951514592904,-0.287929862521822,6.738230167441739,22.448515773577879,22.056978020556075,966528.0154354514,0.0,0.0
 01/19  16:00:00,10.433333333333334,7.716666666666669,102400.0,2.1500000000000005,270.0,170.5,321.99999999999997,211.39101280077623,25.374990442694398,-0.19096815017470757,5.772608058989706,22.72213450266913,22.398865597847125,966528.0154354514,0.0,0.0
