Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),EMS:Adaptive Coefficient_PlantaX08_Office [](Hourly),EMS:aPMV_PlantaX08_Office [](Hourly),EMS:aPMV Heating Setpoint_PlantaX08_Office [](Hourly),EMS:aPMV Cooling Setpoint_PlantaX08_Office [](Hourly),EMS:aPMV Heating Setpoint No Tolerance_PlantaX08_Office [](Hourly),EMS:aPMV Cooling Setpoint No Tolerance_PlantaX08_Office [](Hourly),EMS:Comfortable Hours_PlantaX08_Office [H](Hourly),EMS:Discomfortable Hot Hours_PlantaX08_Office [H](Hourly),EMS:Discomfortable Cold Hours_PlantaX08_Office [H](Hourly),EMS:Discomfortable Total Hours_PlantaX08_Office [H](Hourly),EMS:Occupied hours_PlantaX08_Office [H](Hourly),PLANTAX08:OFFICE:Zone Mean Air Temperature [C](Hourly),PLANTAX08:OFFICE:Zone Operative Temperature [C](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Fanger Model PMV [](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Mean Radiant Temperature [C](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Operative Temperature [C](Hourly),PMV_H_SP_PLANTAX08_OFFICE:Schedule Value [](Hourly),PMV_C_SP_PLANTAX08_OFFICE:Schedule Value [](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 05/26  14:00:00,23.833333333333333,10.375,101600.0,3.6833333333333337,300.0,383.6666666666667,504.6666666666667,191.45436605371286,72.88512942388212,0.0,0.4061257824483497,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.715461044092323,26.98772155886341,0.4068142510772512,8.448986691933767,28.259982073634487,26.99950006213417,-0.39999999999999999,0.39999999999999999,10438107.791065323,0.0,0.0
 05/26  15:00:00,25.0,10.458333333333334,101541.66666666667,4.1000000000000009,300.0,355.5,507.75,229.00548818809819,66.80990597137719,0.0,0.40451148034973896,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.60646846364267,27.002843790148864,0.4046662045728162,8.412458105963943,28.399219116655059,27.01105316882523,-0.39999999999999999,0.39999999999999999,11951201.369123564,0.0,0.0
 05/26  16:00:00,25.0,11.208333333333334,101500.0,4.1000000000000009,288.3333333333333,353.25,449.0,249.77355353300528,56.56166945232153,0.0,0.4063474350869647,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.477758415178888,27.00237874752783,0.4057491467956307,8.430887241372064,28.526999079876764,27.012621640469349,-0.39999999999999999,0.39999999999999999,12924578.954093416,0.0,0.0
 05/26  17:00:00,26.75,10.416666666666666,101441.66666666667,4.1000000000000009,274.1666666666667,263.25,457.25,262.5531902836031,45.02195706916503,0.0,0.40309184705326858,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.3935217776647,27.0002982941424,0.40284182388434167,8.381556599337833,28.607074810620096,27.005844031367557,-0.39999999999999999,0.39999999999999999,14370952.698684074,0.0,0.0
 05/26  18:00:00,25.666666666666669,9.416666666666666,101400.0,5.325,246.66666666666667,205.0,369.75,272.20359977534556,33.147556994557827,0.0,0.3936102482620479,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.45337754816462,27.001272508600697,0.39130069847057227,8.18971913406588,28.549167469036779,26.98659953764728,-0.39999999999999999,0.39999999999999999,13344892.66984908,0.0,0.0
 05/26  19:00:00,24.116666666666665,10.633333333333333,101400.0,6.2,235.83333333333335,147.41666666666669,201.16666666666667,280.69578077771777,21.332312789975704,0.0,0.389240479309857,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.670123652835796,27.008913357155433,0.3895241708229988,8.160438363006757,28.34770306147507,26.990984605677473,-0.39999999999999999,0.39999999999999999,10957654.017288523,0.0,0.0
 05/26  20:00:00,23.5,10.166666666666666,101400.0,6.2,251.66666666666667,65.75,56.75,289.0166840208745,9.83655343368637,0.0,0.3865998174736931,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.92210471523622,26.98171501957391,0.3859499239344235,8.102429646826586,28.041325323911598,26.95787076710006,-0.39999999999999999,0.39999999999999999,8640218.632220136,0.0,0.0
 05/26  21:00:00,21.833333333333333,8.416666666666666,101458.33333333333,5.558333333333334,254.16666666666667,6.999999999999999,4.333333333333332,297.82641498364748,-1.0790831010046718,0.0,0.383984329243334,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,26.24224237411902,26.981487563007744,0.3842597267784183,8.075188689268954,27.720732751896465,26.954741417199995,-0.39999999999999999,0.39999999999999999,5660731.881132125,0.0,0.0
 05/26  22:00:00,20.533333333333336,9.75,101500.0,3.9333333333333337,261.6666666666667,0.0,0.0,307.68840385550467,-11.085626407428342,0.0,0.3905038080148877,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,26.476249730305143,26.999909159054913,0.39174509435482215,8.196872929385224,27.523568587804687,26.98587894175459,-0.39999999999999999,0.39999999999999999,3779292.134630002,0.0,0.0
 05/26  23:00:00,18.333333333333333,9.25,101500.0,3.1,275.8333333333333,0.0,0.0,319.12185514490337,-19.733779142209568,0.0,0.3931858794961703,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,26.615079818767584,26.98752753618423,0.3924187221564462,8.207888372079033,27.35997525360088,26.97541338432727,-0.39999999999999999,0.39999999999999999,2049622.1090538467,0.0,0.0
 05/26  24:00:00,17.0,10.1,101500.0,2.8083333333333337,280.0,0.0,0.0,332.49390937729927,-26.427499098634589,0.0,0.39265911995200755,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,26.722191894831427,26.97359467928877,0.39247235860586718,8.208793569580948,27.22499746374612,26.97047346500534,-0.39999999999999999,0.39999999999999999,1003749.666162667,0.0,0.0
 05/27  01:00:00,17.0,11.775,101500.0,2.308333333333333,221.66666666666667,0.0,0.0,12.265598983195398,-30.306836173950136,0.0,0.38280666977834917,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,26.68136619337697,26.899554750107474,0.3801509842045156,8.009838736134557,27.11774330683798,26.90507779629408,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 05/27  02:00:00,15.833333333333334,11.958333333333334,101500.0,2.1,185.83333333333335,0.0,0.0,4.945127287830904,-31.171681458858477,0.0,0.35489665697134828,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,26.50796964492479,26.74453540441492,0.3451817024114306,7.48621033064903,26.98110116390504,26.76787062588855,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
